Crop,District,Year,Month,Price_INR_per_Quintal
Rice,Bengaluru Rural,2010,1,1812.15
Rice,Bengaluru Rural,2010,2,1813.83
Rice,Bengaluru Rural,2010,3,2193.18
Rice,Bengaluru Rural,2010,4,2105.05
Rice,Bengaluru Rural,2010,5,2117.95
Rice,Bengaluru Rural,2010,6,2095.82
Rice,Bengaluru Rural,2010,7,1409.86
Rice,Bengaluru Rural,2010,8,1424.65
Rice,Bengaluru Rural,2010,9,1938.82
Rice,Bengaluru Rural,2010,10,2004.76
Rice,Bengaluru Rural,2010,11,1427.55
Rice,Bengaluru Rural,2010,12,1431.34
Rice,Bengaluru Rural,2011,1,1538.12
Rice,Bengaluru Rural,2011,2,1918.87
Rice,Bengaluru Rural,2011,3,2099.34
Rice,Bengaluru Rural,2011,4,1956.39
Rice,Bengaluru Rural,2011,5,2279.5
Rice,Bengaluru Rural,2011,6,1722.8
Rice,Bengaluru Rural,2011,7,1504.38
Rice,Bengaluru Rural,2011,8,1686.49
Rice,Bengaluru Rural,2011,9,1459.77
Rice,Bengaluru Rural,2011,10,1632.0
Rice,Bengaluru Rural,2011,11,2066.94
Rice,Bengaluru Rural,2011,12,1901.49
Rice,Bengaluru Rural,2012,1,1605.55
Rice,Bengaluru Rural,2012,2,1925.09
Rice,Bengaluru Rural,2012,3,1551.07
Rice,Bengaluru Rural,2012,4,2154.02
Rice,Bengaluru Rural,2012,5,2141.9
Rice,Bengaluru Rural,2012,6,2212.35
Rice,Bengaluru Rural,2012,7,2071.36
Rice,Bengaluru Rural,2012,8,2039.01
Rice,Bengaluru Rural,2012,9,2008.58
Rice,Bengaluru Rural,2012,10,2248.4
Rice,Bengaluru Rural,2012,11,2278.56
Rice,Bengaluru Rural,2012,12,1740.51
Rice,Bengaluru Rural,2013,1,1888.75
Rice,Bengaluru Rural,2013,2,1686.59
Rice,Bengaluru Rural,2013,3,2250.97
Rice,Bengaluru Rural,2013,4,1893.03
Rice,Bengaluru Rural,2013,5,2170.53
Rice,Bengaluru Rural,2013,6,2202.6
Rice,Bengaluru Rural,2013,7,2067.44
Rice,Bengaluru Rural,2013,8,2084.07
Rice,Bengaluru Rural,2013,9,1796.32
Rice,Bengaluru Rural,2013,10,1843.88
Rice,Bengaluru Rural,2013,11,2078.95
Rice,Bengaluru Rural,2013,12,1952.11
Rice,Bengaluru Rural,2014,1,2261.98
Rice,Bengaluru Rural,2014,2,1854.47
Rice,Bengaluru Rural,2014,3,1853.16
Rice,Bengaluru Rural,2014,4,1699.02
Rice,Bengaluru Rural,2014,5,2440.5
Rice,Bengaluru Rural,2014,6,2069.33
Rice,Bengaluru Rural,2014,7,2109.08
Rice,Bengaluru Rural,2014,8,2185.43
Rice,Bengaluru Rural,2014,9,1920.38
Rice,Bengaluru Rural,2014,10,1796.49
Rice,Bengaluru Rural,2014,11,2185.3
Rice,Bengaluru Rural,2014,12,1996.31
Rice,Bengaluru Rural,2015,1,2098.68
Rice,Bengaluru Rural,2015,2,2123.97
Rice,Bengaluru Rural,2015,3,2353.87
Rice,Bengaluru Rural,2015,4,1963.33
Rice,Bengaluru Rural,2015,5,2162.92
Rice,Bengaluru Rural,2015,6,2392.86
Rice,Bengaluru Rural,2015,7,2151.34
Rice,Bengaluru Rural,2015,8,2039.62
Rice,Bengaluru Rural,2015,9,1689.81
Rice,Bengaluru Rural,2015,10,2359.59
Rice,Bengaluru Rural,2015,11,2059.56
Rice,Bengaluru Rural,2015,12,2234.79
Rice,Bengaluru Rural,2016,1,1891.44
Rice,Bengaluru Rural,2016,2,2304.27
Rice,Bengaluru Rural,2016,3,2114.15
Rice,Bengaluru Rural,2016,4,2516.39
Rice,Bengaluru Rural,2016,5,2195.9
Rice,Bengaluru Rural,2016,6,1945.11
Rice,Bengaluru Rural,2016,7,1979.38
Rice,Bengaluru Rural,2016,8,1867.38
Rice,Bengaluru Rural,2016,9,2328.02
Rice,Bengaluru Rural,2016,10,1826.18
Rice,Bengaluru Rural,2016,11,1846.67
Rice,Bengaluru Rural,2016,12,1917.67
Rice,Bengaluru Rural,2017,1,2334.53
Rice,Bengaluru Rural,2017,2,2513.54
Rice,Bengaluru Rural,2017,3,1774.68
Rice,Bengaluru Rural,2017,4,2089.3
Rice,Bengaluru Rural,2017,5,2324.19
Rice,Bengaluru Rural,2017,6,2182.28
Rice,Bengaluru Rural,2017,7,2501.61
Rice,Bengaluru Rural,2017,8,2191.7
Rice,Bengaluru Rural,2017,9,1810.44
Rice,Bengaluru Rural,2017,10,1922.3
Rice,Bengaluru Rural,2017,11,2327.41
Rice,Bengaluru Rural,2017,12,2494.64
Rice,Bengaluru Rural,2018,1,2282.32
Rice,Bengaluru Rural,2018,2,2142.78
Rice,Bengaluru Rural,2018,3,2023.22
Rice,Bengaluru Rural,2018,4,2226.75
Rice,Bengaluru Rural,2018,5,2075.57
Rice,Bengaluru Rural,2018,6,2333.63
Rice,Bengaluru Rural,2018,7,2089.67
Rice,Bengaluru Rural,2018,8,2096.5
Rice,Bengaluru Rural,2018,9,1966.03
Rice,Bengaluru Rural,2018,10,2524.24
Rice,Bengaluru Rural,2018,11,2517.49
Rice,Bengaluru Rural,2018,12,2089.62
Rice,Bengaluru Rural,2019,1,2273.74
Rice,Bengaluru Rural,2019,2,2139.45
Rice,Bengaluru Rural,2019,3,2154.42
Rice,Bengaluru Rural,2019,4,2117.47
Rice,Bengaluru Rural,2019,5,2489.24
Rice,Bengaluru Rural,2019,6,2250.33
Rice,Bengaluru Rural,2019,7,2274.55
Rice,Bengaluru Rural,2019,8,2064.41
Rice,Bengaluru Rural,2019,9,2021.77
Rice,Bengaluru Rural,2019,10,2213.95
Rice,Bengaluru Rural,2019,11,2385.9
Rice,Bengaluru Rural,2019,12,1867.98
Rice,Bengaluru Rural,2020,1,2344.93
Rice,Bengaluru Rural,2020,2,2289.62
Rice,Bengaluru Rural,2020,3,2757.08
Rice,Bengaluru Rural,2020,4,2064.34
Rice,Bengaluru Rural,2020,5,2552.07
Rice,Bengaluru Rural,2020,6,2523.11
Rice,Bengaluru Rural,2020,7,1906.64
Rice,Bengaluru Rural,2020,8,2145.09
Rice,Bengaluru Rural,2020,9,1919.86
Rice,Bengaluru Rural,2020,10,1942.69
Rice,Bengaluru Rural,2020,11,2021.38
Rice,Bengaluru Rural,2020,12,2014.7
Rice,Bengaluru Rural,2021,1,2195.83
Rice,Bengaluru Rural,2021,2,2171.26
Rice,Bengaluru Rural,2021,3,2393.49
Rice,Bengaluru Rural,2021,4,2068.51
Rice,Bengaluru Rural,2021,5,2609.45
Rice,Bengaluru Rural,2021,6,2304.06
Rice,Bengaluru Rural,2021,7,2042.42
Rice,Bengaluru Rural,2021,8,2112.94
Rice,Bengaluru Rural,2021,9,2511.12
Rice,Bengaluru Rural,2021,10,2478.87
Rice,Bengaluru Rural,2021,11,2470.48
Rice,Bengaluru Rural,2021,12,1948.48
Rice,Bengaluru Rural,2022,1,2677.06
Rice,Bengaluru Rural,2022,2,2555.67
Rice,Bengaluru Rural,2022,3,2310.3
Rice,Bengaluru Rural,2022,4,2364.22
Rice,Bengaluru Rural,2022,5,2313.0
Rice,Bengaluru Rural,2022,6,2149.39
Rice,Bengaluru Rural,2022,7,2044.41
Rice,Bengaluru Rural,2022,8,2414.43
Rice,Bengaluru Rural,2022,9,2715.68
Rice,Bengaluru Rural,2022,10,2324.73
Rice,Bengaluru Rural,2022,11,2561.54
Rice,Bengaluru Rural,2022,12,2405.42
Rice,Bengaluru Rural,2023,1,2641.8
Rice,Bengaluru Rural,2023,2,2314.61
Rice,Bengaluru Rural,2023,3,2514.42
Rice,Bengaluru Rural,2023,4,2429.85
Rice,Bengaluru Rural,2023,5,2785.02
Rice,Bengaluru Rural,2023,6,2787.66
Rice,Bengaluru Rural,2023,7,2174.13
Rice,Bengaluru Rural,2023,8,2702.5
Rice,Bengaluru Rural,2023,9,2439.16
Rice,Bengaluru Rural,2023,10,2130.54
Rice,Bengaluru Rural,2023,11,2134.01
Rice,Bengaluru Rural,2023,12,2263.56
Rice,Bengaluru Rural,2024,1,2297.03
Rice,Bengaluru Rural,2024,2,2313.53
Rice,Bengaluru Rural,2024,3,2705.86
Rice,Bengaluru Rural,2024,4,2500.46
Rice,Bengaluru Rural,2024,5,2293.79
Rice,Bengaluru Rural,2024,6,2752.98
Rice,Bengaluru Rural,2024,7,2855.88
Rice,Bengaluru Rural,2024,8,2144.67
Rice,Bengaluru Rural,2024,9,2577.43
Rice,Bengaluru Rural,2024,10,2768.67
Rice,Bengaluru Rural,2024,11,2479.4
Rice,Bengaluru Rural,2024,12,2437.62
Rice,Bengaluru Rural,2025,1,2677.74
Rice,Bengaluru Rural,2025,2,2485.23
Rice,Bengaluru Rural,2025,3,2776.76
Rice,Bengaluru Rural,2025,4,2586.82
Rice,Bengaluru Rural,2025,5,2608.8
Rice,Bengaluru Rural,2025,6,2336.89
Rice,Bengaluru Rural,2025,7,2668.99
Rice,Bengaluru Rural,2025,8,2149.42
Rice,Bengaluru Rural,2025,9,2516.98
Rice,Bengaluru Rural,2025,10,2757.34
Rice,Bengaluru Rural,2025,11,2467.16
Rice,Bengaluru Rural,2025,12,2310.38
Rice,Bengaluru Urban,2010,1,2137.8
Rice,Bengaluru Urban,2010,2,1578.13
Rice,Bengaluru Urban,2010,3,2025.46
Rice,Bengaluru Urban,2010,4,2231.82
Rice,Bengaluru Urban,2010,5,1802.26
Rice,Bengaluru Urban,2010,6,1470.57
Rice,Bengaluru Urban,2010,7,1681.18
Rice,Bengaluru Urban,2010,8,1465.92
Rice,Bengaluru Urban,2010,9,1820.54
Rice,Bengaluru Urban,2010,10,1638.9
Rice,Bengaluru Urban,2010,11,1726.39
Rice,Bengaluru Urban,2010,12,1976.68
Rice,Bengaluru Urban,2011,1,2010.34
Rice,Bengaluru Urban,2011,2,2062.4
Rice,Bengaluru Urban,2011,3,1660.99
Rice,Bengaluru Urban,2011,4,1806.4
Rice,Bengaluru Urban,2011,5,1610.36
Rice,Bengaluru Urban,2011,6,1719.27
Rice,Bengaluru Urban,2011,7,2168.23
Rice,Bengaluru Urban,2011,8,1629.35
Rice,Bengaluru Urban,2011,9,1512.04
Rice,Bengaluru Urban,2011,10,1561.53
Rice,Bengaluru Urban,2011,11,1527.39
Rice,Bengaluru Urban,2011,12,1615.53
Rice,Bengaluru Urban,2012,1,1696.41
Rice,Bengaluru Urban,2012,2,1594.92
Rice,Bengaluru Urban,2012,3,1616.11
Rice,Bengaluru Urban,2012,4,1971.75
Rice,Bengaluru Urban,2012,5,1619.38
Rice,Bengaluru Urban,2012,6,1571.94
Rice,Bengaluru Urban,2012,7,1523.83
Rice,Bengaluru Urban,2012,8,1546.78
Rice,Bengaluru Urban,2012,9,1669.79
Rice,Bengaluru Urban,2012,10,1666.34
Rice,Bengaluru Urban,2012,11,1739.63
Rice,Bengaluru Urban,2012,12,1870.37
Rice,Bengaluru Urban,2013,1,1924.86
Rice,Bengaluru Urban,2013,2,2117.98
Rice,Bengaluru Urban,2013,3,1695.49
Rice,Bengaluru Urban,2013,4,2236.0
Rice,Bengaluru Urban,2013,5,2274.81
Rice,Bengaluru Urban,2013,6,1804.22
Rice,Bengaluru Urban,2013,7,1653.3
Rice,Bengaluru Urban,2013,8,1683.89
Rice,Bengaluru Urban,2013,9,1701.94
Rice,Bengaluru Urban,2013,10,1700.02
Rice,Bengaluru Urban,2013,11,1663.84
Rice,Bengaluru Urban,2013,12,1636.09
Rice,Bengaluru Urban,2014,1,2345.52
Rice,Bengaluru Urban,2014,2,1760.85
Rice,Bengaluru Urban,2014,3,2128.28
Rice,Bengaluru Urban,2014,4,1737.31
Rice,Bengaluru Urban,2014,5,2221.06
Rice,Bengaluru Urban,2014,6,2116.57
Rice,Bengaluru Urban,2014,7,2416.48
Rice,Bengaluru Urban,2014,8,1936.5
Rice,Bengaluru Urban,2014,9,1872.39
Rice,Bengaluru Urban,2014,10,2389.56
Rice,Bengaluru Urban,2014,11,1997.1
Rice,Bengaluru Urban,2014,12,1915.14
Rice,Bengaluru Urban,2015,1,1992.37
Rice,Bengaluru Urban,2015,2,2164.59
Rice,Bengaluru Urban,2015,3,2390.64
Rice,Bengaluru Urban,2015,4,2224.75
Rice,Bengaluru Urban,2015,5,2108.47
Rice,Bengaluru Urban,2015,6,2002.86
Rice,Bengaluru Urban,2015,7,2268.69
Rice,Bengaluru Urban,2015,8,2311.46
Rice,Bengaluru Urban,2015,9,2171.1
Rice,Bengaluru Urban,2015,10,1902.32
Rice,Bengaluru Urban,2015,11,2027.45
Rice,Bengaluru Urban,2015,12,1785.64
Rice,Bengaluru Urban,2016,1,1954.81
Rice,Bengaluru Urban,2016,2,2364.34
Rice,Bengaluru Urban,2016,3,2417.49
Rice,Bengaluru Urban,2016,4,2217.8
Rice,Bengaluru Urban,2016,5,1859.15
Rice,Bengaluru Urban,2016,6,2451.42
Rice,Bengaluru Urban,2016,7,2483.15
Rice,Bengaluru Urban,2016,8,2305.62
Rice,Bengaluru Urban,2016,9,2477.51
Rice,Bengaluru Urban,2016,10,2055.51
Rice,Bengaluru Urban,2016,11,1745.29
Rice,Bengaluru Urban,2016,12,1911.65
Rice,Bengaluru Urban,2017,1,1827.57
Rice,Bengaluru Urban,2017,2,2026.5
Rice,Bengaluru Urban,2017,3,2524.29
Rice,Bengaluru Urban,2017,4,2128.54
Rice,Bengaluru Urban,2017,5,2163.57
Rice,Bengaluru Urban,2017,6,2043.76
Rice,Bengaluru Urban,2017,7,2217.05
Rice,Bengaluru Urban,2017,8,1925.92
Rice,Bengaluru Urban,2017,9,1664.91
Rice,Bengaluru Urban,2017,10,2303.12
Rice,Bengaluru Urban,2017,11,1857.5
Rice,Bengaluru Urban,2017,12,2117.18
Rice,Bengaluru Urban,2018,1,2038.91
Rice,Bengaluru Urban,2018,2,2536.57
Rice,Bengaluru Urban,2018,3,2595.75
Rice,Bengaluru Urban,2018,4,1936.45
Rice,Bengaluru Urban,2018,5,2560.55
Rice,Bengaluru Urban,2018,6,1965.76
Rice,Bengaluru Urban,2018,7,1822.12
Rice,Bengaluru Urban,2018,8,2488.45
Rice,Bengaluru Urban,2018,9,1925.31
Rice,Bengaluru Urban,2018,10,1827.38
Rice,Bengaluru Urban,2018,11,1952.52
Rice,Bengaluru Urban,2018,12,2050.02
Rice,Bengaluru Urban,2019,1,2441.82
Rice,Bengaluru Urban,2019,2,2154.96
Rice,Bengaluru Urban,2019,3,2347.89
Rice,Bengaluru Urban,2019,4,2388.46
Rice,Bengaluru Urban,2019,5,2406.97
Rice,Bengaluru Urban,2019,6,1990.12
Rice,Bengaluru Urban,2019,7,2029.29
Rice,Bengaluru Urban,2019,8,2338.27
Rice,Bengaluru Urban,2019,9,2536.0
Rice,Bengaluru Urban,2019,10,2146.59
Rice,Bengaluru Urban,2019,11,2608.21
Rice,Bengaluru Urban,2019,12,2484.24
Rice,Bengaluru Urban,2020,1,2288.11
Rice,Bengaluru Urban,2020,2,2434.12
Rice,Bengaluru Urban,2020,3,2298.73
Rice,Bengaluru Urban,2020,4,2463.19
Rice,Bengaluru Urban,2020,5,2612.83
Rice,Bengaluru Urban,2020,6,1994.2
Rice,Bengaluru Urban,2020,7,2185.88
Rice,Bengaluru Urban,2020,8,2248.14
Rice,Bengaluru Urban,2020,9,2239.14
Rice,Bengaluru Urban,2020,10,2171.78
Rice,Bengaluru Urban,2020,11,2463.93
Rice,Bengaluru Urban,2020,12,2616.09
